YEARMO,Year,Month,DAHR, DAY01,DAHR, DAY02,DAHR, DAY03,DAHR, DAY04,DAHR, DAY05,DAHR, DAY06,DAHR, DAY07,DAHR, DAY08,DAHR, DAY09,DAHR, DAY10,DAHR, DAY11,DAHR, DAY12,DAHR, DAY13,DAHR, DAY14,DAHR, DAY15,DAHR, DAY16,DAHR, DAY17,DAHR, DAY18,DAHR, DAY19,DAHR, DAY20,DAHR, DAY21,DAHR, DAY22,DAHR, DAY23,DAHR, DAY24,DAHR, DAY25,DAHR, DAY26,DAHR, DAY27,DAHR, DAY28,DAHR, DAY29,DAHR, DAY30,DAHR, DAY31
195605,1956,5,118,13,218,14,318,10,418,23,518,39,618,43,718,35,818,33,918,50,1018,64,1118,72,1218,43,1318,75,1418,48,1518,11,1618,35,1718,53,1818,40,1918,73,2018,65,2118,63,2218,70,2318,65,2418,32,2518,3,2618,17,2718,52,2818,19,2918,26,3018,42,3118,38
195606,1956,6,118,20,218,29,399,-99999,418,6,518,31,618,30,718,28,818,35,918,32,1018,37,1118,32,1218,32,1318,29,1418,38,1518,33,1618,41,1718,49,1818,47,1918,30,2018,45,2118,51,2218,57,2399,-99999,2418,3,2518,16,2618,60,2718,37,2818,53,2918,24,3018,53,3199,-99999
195607,1956,7,118,70,218,60,318,53,418,65,518,10,618,43,718,32,818,60,918,43,1018,37,1199,-99999,1218,43,1318,43,1418,45,1518,70,1699,-99999,1718,28,1818,43,1918,28,2018,15,2118,38,2218,34,2318,37,2418,12,2518,25,2618,44,2718,49,2818,50,2918,57,3018,27,3118,26
195608,1956,8,118,33,299,-99999,318,17,418,44,518,49,618,50,718,34,818,49,918,40,1018,53,1118,82,1218,55,1318,44,1418,51,1518,49,1618,38,1718,58,1818,53,1918,60,2018,11,2118,35,2299,-99999,2399,-99999,2418,43,2518,43,2618,56,2718,49,2818,26,2918,33,3018,53,3118,60
195609,1956,9,118,14,218,11,318,42,418,34,518,45,618,38,718,30,818,54,918,18,1018,28,1118,17,1218,48,1318,48,1418,47,1518,47,1618,48,1718,47,1818,18,1918,41,2018,38,2118,44,2218,56,2318,38,2418,32,2518,28,2618,28,2718,26,2818,31,2918,50,3018,53,3199,-99999
195610,1956,10,118,16,218,25,318,16,418,20,518,24,618,26,718,37,818,32,918,30,1018,26,1118,31,1218,30,1318,30,1418,19,1518,35,1618,6,1718,17,1818,15,1918,11,2018,11,2118,17,2218,5,2318,2,2418,28,2518,26,2618,14,2718,17,2818,6,2918,19,3018,20,3118,16
195611,1956,11,199,-99999,218,19,318,15,418,15,518,13,618,3,718,4,818,16,918,7,1018,7,1118,12,1218,14,1318,15,1418,15,1518,28,1618,99999,1718,18,1818,19,1918,5,2018,10,2118,99999,2299,-99999,2318,37,2418,13,2518,10,2618,99999,2799,-99999,2818,43,2999,-99999,3099,-99999,3199,-99999
195612,1956,12,199,-99999,218,10,318,15,418,16,518,25,618,23,718,1,818,99999,999,-99999,1099,-99999,1199,-99999,1218,11,1318,99999,1499,-99999,1599,-99999,1699,-99999,1718,20,1818,99999,1918,12,2018,99999,2199,-99999,2218,2,2318,1,2418,99999,2599,-99999,2699,-99999,2799,-99999,2818,30,2918,99999,3099,-99999,3118,33
195701,1957,1,118,6,218,99999,318,22,418,2,518,1,618,1,718,1,899,-99999,918,1,1018,99999,1199,-99999,1299,-99999,1399,-99999,1499,-99999,1599,-99999,1699,-99999,1799,-99999,1899,-99999,1999,-99999,2099,-99999,2118,86,2299,-99999,2399,-99999,2499,-99999,2599,-99999,2699,-99999,2799,-99999,2899,-99999,2999,-99999,3099,-99999,3199,-99999
195702,1957,2,199,-99999,299,-99999,399,-99999,499,-99999,518,1,618,1,718,1,818,0,918,3,1018,4,1118,25,1218,17,1318,3,1418,9,1518,9,1618,1,1718,12,1818,12,1918,2,2018,9,2118,4,2218,5,2318,99999,2499,-99999,2599,-99999,2699,-99999,2718,26,2818,8,2999,-99999,3099,-99999,3199,-99999
195703,1957,3,118,15,218,8,318,13,418,13,518,0,618,0,799,-99999,899,-99999,999,-99999,1018,24,1118,6,1218,32,1318,27,1418,39,1518,30,1618,5,1718,24,1818,1,1918,18,2018,11,2118,23,2218,1,2318,9,2418,15,2518,4,2618,16,2718,9,2818,99999,2918,8,3018,29,3118,3
